Episode,Reward,Length,TD_Error
1,-731.0,200,279.04219
2,-384.0,108,77.993
3,-740.0,200,208.83200000000002
4,-740.0,200,297.01852840000004
5,-812.0,200,327.71284794
6,-866.0,200,363.106693611
7,-821.0,200,199.97074999999995
8,-821.0,200,292.05697
9,-722.0,200,222.7885
10,-812.0,200,264.01338150000004
11,-686.0,200,287.36517398288345
12,-187.0,64,38.172000000000004
13,-749.0,200,228.12901000000002
14,-794.0,200,360.78789600000005
15,-776.0,200,252.16850000000002
16,-803.0,200,228.51547
17,-812.0,200,335.04413300000004
18,-749.0,200,226.744882345
19,-821.0,200,198.3035
20,-773.0,191,228.0826
21,-821.0,200,275.57433078699995
22,-812.0,200,418.27573570600003
23,-740.0,200,192.32081124707003
24,-794.0,200,331.568054588496
25,-785.0,200,268.4184981
26,-848.0,200,336.225786
27,-758.0,200,234.09707
28,-803.0,200,357.27267273
29,-821.0,200,294.37635
30,-722.0,200,248.52205000000004
31,-821.0,200,313.92303675
32,-713.0,200,223.75052579439802
33,-695.0,200,185.112
34,-785.0,200,266.7425671455
35,-848.0,200,213.96226667662094
36,-803.0,200,208.42460000000003
37,-740.0,200,235.2688
38,-785.0,200,287.31354390818
39,-794.0,200,194.11516902073822
40,-830.0,200,267.3982
41,-677.0,200,208.915478
42,-749.0,200,174.1247951
43,-767.0,200,291.02488635317997
44,-857.0,200,152.10630033523472
45,-749.0,200,212.91825384000003
46,-713.0,200,364.5672523023
47,-677.0,200,152.55097608874695
48,-911.0,200,420.72586727000004
49,-803.0,200,261.1319708217796
50,-803.0,200,361.2732726898
51,-821.0,200,271.64762255799997
52,-686.0,200,166.11602289852706
53,-740.0,200,323.81929097
54,-704.0,200,232.16681000000003
55,-821.0,200,185.33951588653406
56,-848.0,200,230.85655419999998
57,-731.0,200,254.031529
58,-767.0,200,208.04600951999998
59,-830.0,200,188.66612635500002
60,-893.0,200,361.36255692368
61,-830.0,200,280.5881501374643
62,-713.0,200,227.17442896
63,-794.0,200,276.172373
64,-803.0,200,267.11195686
65,-866.0,200,340.92929349853375
66,-812.0,200,152.56729542880007
67,-821.0,200,210.27936975508518
68,-803.0,200,369.48150687578266
69,-893.0,200,264.1822803500287
70,-767.0,200,137.48000000000002
71,-794.0,200,218.7231162244357
72,-731.0,200,210.68160468000002
73,-839.0,200,183.09953399999998
74,-776.0,200,166.53719716351
75,-758.0,200,263.40228655609997
76,-650.0,200,177.9701609
77,-749.0,200,223.05055244487568
78,-821.0,200,227.2292765
79,-731.0,200,197.24873667132022
80,-839.0,200,190.81566800000002
81,-713.0,200,154.88058662642155
82,-749.0,200,133.91300617449514
83,-839.0,200,148.30691009076548
84,-713.0,200,126.40781649625563
85,-803.0,200,234.17349
86,-857.0,200,225.63793291248905
87,-812.0,200,296.58288646799997
88,-821.0,200,387.60918987
89,-848.0,200,228.7276377310706
90,-803.0,200,160.0973531100405
91,-746.0,164,195.71350843
92,-839.0,200,174.94850773080006
93,-848.0,200,215.1640047
94,-866.0,200,257.6764769628693
95,-839.0,200,199.64279321042704
96,-704.0,200,127.17202917242003
97,-731.0,200,211.10534550723202
98,-722.0,200,257.3945877
99,-623.0,200,132.5128809672828
100,-974.0,200,282.82130110440005
101,-794.0,200,310.8485216589959
102,-848.0,200,301.12602932235995
103,-758.0,200,208.02423606290006
104,-821.0,200,217.62414079681412
105,-767.0,200,194.06239531561576
106,-839.0,200,100.77717665929254
107,-785.0,200,226.03777057856462
108,-227.0,68,64.2316355900721
109,-893.0,200,289.03979782270005
110,-713.0,200,206.78115079000003
111,-839.0,200,205.11398000000003
112,-659.0,200,174.2311048929982
113,-767.0,200,209.34105016299534
114,-776.0,200,310.85332013077243
115,-731.0,200,160.64700981812382
116,-812.0,200,113.44249645426345
117,-767.0,200,112.94288847202898
118,-776.0,200,212.053659938331
119,-713.0,200,131.77927922477005
120,-740.0,200,190.37684962270822
121,-803.0,200,202.6302777505091
122,-767.0,200,222.0132826067004
123,-794.0,200,187.1664772683718
124,-749.0,200,116.55535666610001
125,-875.0,200,223.01551009314596
126,-875.0,200,395.87111003098005
127,-776.0,200,177.34677035979513
128,-695.0,200,115.63588852003733
129,-534.0,150,155.969998163
130,-839.0,200,180.52186643610597
131,-830.0,200,168.1715695178258
132,-812.0,200,210.054267766081
133,-893.0,200,209.52491789083703
